unitName,x,y,unitCluster
snapShot_1,0.013831173,-0.32018601,1
snapShot_2,0.30116131,0.5,1
snapShot_3,0.5,-0.105580069,1
snapShot_4,0.143401181,-0.431601911,1
snapShot_5,-0.114740972,0.31129382,1
snapShot_6,-0.000422258,-0.111266981,1
snapShot_7,-0.389764671,-0.327144221,1
snapShot_8,-0.174589316,0.208214563,1
snapShot_9,-0.253205661,0.381351587,1
snapShot_10,-0.5,-0.110404779,1
snapShot_11,-0.349689132,0.074583602,1
snapShot_12,-0.227881864,0.491358938,1
snapShot_13,-0.183652553,-0.339409116,1
snapShot_14,-0.195090583,-0.062533743,1
snapShot_15,-0.410031342,0.381697883,1
snapShot_16,-0.410457787,-0.170842939,1
snapShot_17,-0.119346966,0.372399162,1
snapShot_18,-0.359645446,0.159569833,1
snapShot_19,-0.171975598,-0.204428801,1
snapShot_20,-0.27466272,-0.160240971,1
snapShot_21,-0.199719896,-0.112519799,1
snapShot_22,-0.382209184,-0.13164792,1
snapShot_23,-0.242781514,0.164099976,1
snapShot_24,-0.339754313,0.009612925,1
snapShot_25,-0.229073533,-0.067355484,1
snapShot_26,-0.248497693,-0.5,1
snapShot_27,-0.228337265,-0.206244669,1
snapShot_28,-0.461803467,0.109555293,1
